"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.2639407353318","18.8662781416001","11.6715725749289","2.19580450971051","4.53931728266622","2.37064150750518","4.09261476333727","4.80035199531828","-0.567201753935393","-1.83002373800004","3.85474445102984","-1.02708952603501","-1.68953665272255","4.91835385108675","2.36919299315137","-2.134006060887","0.117317036422548","6.31877676516297","-1.37914839490475","-0.0490843651328845","1.83873074125837","0.577087557491993","-12.7660428841211","-3.82701299563932","2.40034245209328","-1.83397735596419","5.63531750282364","-0.709567170830184","2.88516618544072","1.51593791406077","4.91713876742246","4.73833114017752","0.181215791943856","-18.6983248900374","17.2253003168657",
"Africa Eastern and Southern","AFE","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","-2.36009309307849","5.11213155041716","2.34603296692406","1.72825132841423","2.41855144484609","1.07018814600256","2.35805851973888","1.11265156396408","2.31279700654505","1.73175209827978","2.39047023895328","-0.696691317047112","1.49809420084335","2.81907458913334","-1.21028667292575","-0.114390862397272","-1.59471954451476","-1.91043997981032","-0.330075031335099","2.37936041329361","1.27369563721973","-2.53470140377524","-2.76734670272283","0.0730640742944786","-3.31517484647986","-0.706909874974571","1.14593673186863","1.06422626384158","0.063231054907618","-2.86037706819768","-2.60562090946952","-4.47952389209425","-2.96737099952324","-0.580264108057932","1.628756180678","2.66906474445234","1.80588905886579","-0.652243830755737","0.0903084878166425","0.750995727518642","1.03642073859993","1.26566153278462","0.466079711026453","2.78858920294005","3.36106865514503","3.75725646629159","3.71948950843135","1.49530847698216","-2.05372649707763","2.37374207253443","0.936366201114254","-1.91775331299382","1.4100493641305","1.22995929478684","0.0906019869672861","-0.235775006903822","-0.0157183331764656","-0.0755448262587493","-0.635728676015617","-5.57161969015738","1.74935984690359",
"Afghanistan","AFG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.927029128491213","-2.49725463876793","7.32187384114641","1.08498820068206","11.8033826648298","1.86475446570947","17.1435343251686","11.0992199166219","-3.21136429567835","8.24714425211255","2.00252214522922","-0.964803329240652","-1.66641641520391","-0.345802496981889","-0.253593781811986","-1.68857659267114","0.932833388709597","-5.3646659309623","-22.965295860551",
"Africa Western and Central","AFW","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","-0.274916274662075","1.59299382725013","4.98298993720299","3.11251653994869","1.7742326355142","-3.98942701946208","-11.6074913490371","-0.830934547823006","12.929339473517","15.2342338244811","8.24009049775636","0.695523704633729","1.66957780270121","7.46657217539124","-4.74651659602529","5.73085956742842","1.94785845082241","-4.9002521263123","2.32644157110791","-0.808477961038008","-9.56172402418436","-6.09623419400704","-9.0413489941764","-2.01568360953787","2.77381459248028","-1.27197302637153","-1.22003304153391","2.07402358228337","-0.4840233987142","3.84323243622953","-1.47426500105875","-0.0214429245163643","-3.73859672137127","-2.86629631093339","-0.760525680289774","1.88766737165263","1.49601057061857","0.757349993227933","-1.25719305464538","0.967465469690993","2.35215704293752","6.93181148384726","2.64124187109","5.05131175696749","2.9284764917706","2.47682279691234","2.63616014367314","3.35506629259486","3.34909464285849","4.00489023645976","1.94773505798788","2.25918527349043","3.25696679642991","3.09459512533039","0.0212415745192658","-2.53071182886667","-0.390085820187039","0.269736032676633","0.542604688426991","-3.42640539402956","1.3570979047671",
"Angola","AGO","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","-7.73834787700565","-3.52844122911962","0.498296559473289","2.24177897016472","-0.163475063809827","-0.704614525529294","0.564519377037541","2.61497482878168","-3.27491256774344","-6.62640931330293","-2.31250177865971","-8.84829361715117","-26.3491236736712","-1.85062104574317","11.2784223654184","9.82545782161561","3.75551939227412","1.31392610614915","-1.06272488645489","-0.234945632722756","0.838227322043267","9.93730724887301","-0.466060748026067","7.12707656082286","11.0095655732264","7.61421920316513","9.93510870721505","7.16304601212539","-2.79728998355418","1.01592225919099","-0.347039840755357","4.53602443589062","1.10188714325056","1.02826242552598","-2.64641999388039","-6.01178347017563","-3.63344577878377","-4.67662168598582","-4.01491707909747","-8.6354462123582","-2.05071669551312",
"Albania","ALB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","3.64864854723071","0.795840071093252","-1.01680217228552","-3.30749720231945","-0.290595348322142","3.61465554406624","-2.74949637948961","-3.26252233446822","6.9236172850875","-11.187905298961","-27.5668208369982","-6.62255121235502","10.2299493531342","8.96976165855091","14.0244959298688","9.78017987930293","-10.3611049709411","9.51648443822282","13.6080691237129","7.63002243937019","9.31439713939355","4.85047533419143","5.9242115424577","5.9565695961824","6.06788243935723","6.57292298236362","6.78722893588666","8.3281084229243","4.05313986380152","4.22308382721044","2.82164245514005","1.58487281451019","1.18723435286199","1.98538809180384","2.51682705417127","3.48029321671386","3.89774060601475","4.27632565399514","2.52389372255597","-2.92582095677083","9.52602704130273",
"Andorra","AND","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","-2.52610533382391","0.997233297436878","0.890676964139431","-0.920696155915806","-5.41248285965634","-2.52895903762182","-2.66072465359534","-3.59862489908521","-4.55293526809415","-2.00751514688865","-3.84777218498169","-2.97935496391716","-2.84618552648762","-2.43573048888305","-1.48096585648069","-0.812964067590457","1.0491551716048","0.821046213526316","0.797489468593852","0.0423206245897916","-0.90401445386901","-2.32861318191536","-4.16503009521114","-0.771998475101711","-0.330383518168347","2.6610559320218","8.16554774255292","2.39691998648581","3.35545744566453","2.8360535398907","5.37253298925349","0.0767023575421746","4.19683709369501","3.88238377731496","1.57804021890526","4.29262143453559","4.22037542039897","-2.93538202686689","-2.47803707231481","1.2226877027027","1.34089389241103","-5.57125554315211","-4.02602703426984","2.14093898224779","1.25741601269149","2.57450458774666","-1.41657902035861","-0.00387029555736262","0.238296569502523","-12.7350775611172","7.11048127496372",
"Arab World","ARB","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","11.7720531276063","4.46931551720783","-3.63236478363311","7.41336570092348","5.37889362612427","0.16749366360051","-11.1469362638784","-9.16200131618601","-1.79455530771038","-4.94899013543342","1.35790157309246","-2.94648035284919","3.01249345760732","-0.404768034088505","8.68604591016953","0.212118312803298","2.63804086512187","0.451589930785872","0.548929585032326","0.560596297254918","2.2384375254392","2.33455394960933","2.73465468422745","-0.439886062892697","4.18409530806392","-0.533183394922816","-1.50603775075767","2.63294602038582","6.54676377237922","3.11705859953726","3.45880544393025","1.8454766932567","2.77459890490712","-2.1864442490768","2.2549925191327","1.05046941779285","2.92748546610238","0.279544822675362","0.661371714156061","1.11408262194243","1.37945288810646","-0.9918866637192","0.281823207909966","-0.792041971559428","-6.43927644013579","2.01453048932272",
"United Arab Emirates","ARE","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","","","","","","","","","","","","","","","","3.0973069070144","5.51613893812544","-13.6117817027898","7.18387947010741","10.9753059194355","-3.53448636770128","-12.1248315555959","-10.1117633393283","-1.60863999325107","-8.5704650378425","-20.1208199401845","-3.65128545488598","-8.85224708281405","5.55695437762682","11.5831413390822","-4.57527992949927","-1.92175126606726","-3.61462080936221","2.0429573649774","2.08704729976816","0.0927207444249234","1.35949143029224","-5.71670852416096","-2.95895730166433","4.83612964510461","-3.8515541466836","-2.62547169518371","3.6710471704011","4.63057627437276","-2.19042061275793","-4.01771539617427","-13.9233874024843","-13.2874275605328","-17.145393900361","-4.25638586310046","5.76343344219433","3.69120130726711","4.01269214164878","3.1742024888152","5.81735787418565","4.6535053902119","-0.0873260721437106","0.517239888578146","0.323686531170736","-5.73104452508203","3.05240052428728",
"Argentina","ARG","GDP per capita growth (annual %)","NY.GDP.PCAP.KD.ZG","","3.74090281401109","-2.4543330322291","-6.83139331486137","8.38275147670433","8.83885021210359","-2.2092854101143","1.58724121826592","3.20815605012841","8.00173312595651","1.44319966346231","3.99812531243921","0.0204873323872619","1.13609332154905","3.75415966139556","-1.67352839502321","-3.56380252130759","5.23880284239959","-6.02700203883769","8.47251807667928","-0.0775227575679907","-6.67658724564203","-2.28515041480823","2.73513003775881","0.0213797875689323","-6.61309327708733","4.56111400269241","1.16468993134897","-2.57039183252373","-8.52791141060089","-3.87738988305726","7.58999966385119","6.45007313090611","6.74749737225402","4.42012078486435","-4.11688080061714","4.20496731858427","6.82332109239341","2.65434759734458","-4.49211212893599","-1.90698749835167","-5.45379697848054","-11.8459503938227","7.71922963663721","7.92815705080419","7.73249699851691","6.93498173764449","7.91621057164458","3.02978540664043","-6.86795522506981","9.84429639847724","4.78868313859435","-2.14528444981812","1.26568517537076","-3.57858050983289","1.62966427946263","-3.11006389821465","1.75764818265694","-3.60160975657155","-2.96956249866219","-10.8126108522948","9.35717585932072",
